Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Order Date,Loyalty_Score,Quantity,Unit_Price,Total_Price,Age_Group
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,2025-07-07 12:00:00,1.131578947368421,1,96.0,96.0,36–50
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,2025-07-08 12:00:00,1.263157894736842,1,72.0,72.0,18–25
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,2025-07-09 12:00:00,0.5373134328358209,1,96.0,96.0,51–70
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,2025-07-10 12:00:00,1.105263157894737,1,28.0,28.0,18–25
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,2025-07-11 12:00:00,0.9444444444444444,1,40.0,40.0,36–50
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,2025-07-12 12:00:00,0.8076923076923077,1,32.0,32.0,51–70
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,2025-07-13 12:00:00,0.03773584905660377,1,95.0,95.0,51–70
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,2025-07-14 12:00:00,1.9583333333333333,1,41.0,41.0,18–25
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,2025-07-15 12:00:00,0.8461538461538461,1,53.0,53.0,51–70
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,2025-07-16 12:00:00,1.0606060606060606,1,47.0,47.0,26–35
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,2025-07-17 12:00:00,0.3191489361702128,1,83.0,83.0,36–50
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,2025-07-18 12:00:00,1.16,1,48.0,48.0,18–25
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months,2025-07-19 12:00:00,0.4090909090909091,1,99.0,99.0,36–50
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,2025-07-20 12:00:00,0.21311475409836064,1,87.0,87.0,51–70
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,2025-07-21 12:00:00,1.2432432432432432,1,62.0,62.0,36–50
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly,2025-07-22 12:00:00,0.4827586206896552,1,76.0,76.0,51–70
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,2025-07-23 12:00:00,1.2972972972972974,1,100.0,100.0,36–50
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.6,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,2025-07-24 12:00:00,1.34375,1,73.0,73.0,26–35
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually,2025-07-25 12:00:00,1.7619047619047619,1,92.0,92.0,18–25
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,2025-07-26 12:00:00,1.0,1,67.0,67.0,18–25
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,2025-07-27 12:00:00,1.2692307692307692,1,40.0,40.0,26–35
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,2025-07-28 12:00:00,0.5,1,98.0,98.0,51–70
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly,2025-07-29 12:00:00,1.8518518518518519,1,85.0,85.0,26–35
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,2025-07-30 12:00:00,0.6862745098039216,1,67.0,67.0,51–70
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,2025-07-31 12:00:00,0.4074074074074074,1,89.0,89.0,51–70
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,2025-08-01 12:00:00,0.01818181818181818,1,24.0,24.0,51–70
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,2025-08-02 12:00:00,0.057971014492753624,1,96.0,96.0,51–70
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly,2025-08-03 12:00:00,0.484375,1,35.0,35.0,51–70
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,2025-08-04 12:00:00,1.6428571428571428,1,67.0,67.0,26–35
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,2025-08-05 12:00:00,0.45714285714285713,1,79.0,79.0,51–70
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,2025-08-06 12:00:00,0.7413793103448276,1,85.0,85.0,51–70
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly,2025-08-07 12:00:00,0.4642857142857143,1,26.0,26.0,51–70
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually,2025-08-08 12:00:00,0.34615384615384615,1,75.0,75.0,26–35
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,2025-08-09 12:00:00,0.7567567567567568,1,65.0,65.0,36–50
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly,2025-08-10 12:00:00,0.45454545454545453,1,54.0,54.0,36–50
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly,2025-08-11 12:00:00,0.12857142857142856,1,95.0,95.0,51–70
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months,2025-08-12 12:00:00,0.9056603773584906,1,94.0,94.0,51–70
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually,2025-08-13 12:00:00,0.21818181818181817,1,86.0,86.0,51–70
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly,2025-08-14 12:00:00,0.58,1,32.0,32.0,36–50
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,2025-08-15 12:00:00,0.54,1,45.0,45.0,36–50
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually,2025-08-16 12:00:00,1.1578947368421053,1,76.0,76.0,36–50
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,Yes,Express,Yes,Yes,32,Bank Transfer,Annually,2025-08-17 12:00:00,0.5,1,84.0,84.0,51–70
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly,2025-08-18 12:00:00,0.5789473684210527,1,72.0,72.0,18–25
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,2025-08-19 12:00:00,1.1,1,40.0,40.0,36–50
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly,2025-08-20 12:00:00,0.8070175438596491,1,89.0,89.0,51–70
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually,2025-08-21 12:00:00,1.1363636363636365,1,86.0,86.0,36–50
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months,2025-08-22 12:00:00,0.9183673469387755,1,54.0,54.0,36–50
127,43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months,2025-08-23 12:00:00,1.1162790697674418,1,36.0,36.0,36–50
128,24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly,2025-08-24 12:00:00,1.0833333333333333,1,89.0,89.0,18–25
129,20,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly,2025-08-25 12:00:00,1.05,1,32.0,32.0,18–25
